batch,#,section,group,canonical_group,book_id,title,language,final_dates,decision_source,status
Batch5,243,E,ቅዱስ ዮሐንስ ወንጌላዊ,ቅዱስ ዮሐንስ ወንጌላዊ,GZ-MEL-061,መልክዐ ቅዱስ ዮሐንስ ካልእ በግእዝ,ግእዝ,"መስከረም 4, መስከረም 29, ጥር 4, ግንቦት 16, ሐምሌ 27 / Monthly Day 4",Sinksar Canonical Cycle,verified
Batch5,244,E,ቅዱስ ዮሐንስ ወንጌላዊ,ቅዱስ ዮሐንስ ወንጌላዊ,GZ-MEL-062,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ,ግእዝ,"መስከረም 4, መስከረም 29, ጥር 4, ግንቦት 16, ሐምሌ 27 / Monthly Day 4",Sinksar Canonical Cycle,verified
Batch5,245,E,ቅዱስ ዮሐንስ ወንጌላዊ,ቅዱስ ዮሐንስ ወንጌላዊ,GZ-MEL-149,መልክዐ ዮሐንስ ወልደ ነጎድጓድ በግእዝ,ግእዝ,"መስከረም 4, መስከረም 29, ጥር 4, ግንቦት 16, ሐምሌ 27 / Monthly Day 4",Sinksar Canonical Cycle,verified
Batch5,246,E,ቅዱስ ዮሐንስ ወንጌላዊ,ቅዱስ ዮሐንስ ወንጌላዊ,GZ-MEL-150,መልክዐ ዮሐንስ ፍቁረ እግዚእ በግእዝ,ግእዝ,"መስከረም 4, መስከረም 29, ጥር 4, ግንቦት 16, ሐምሌ 27 / Monthly Day 4",Sinksar Canonical Cycle,verified
Batch5,247,E,ቅዱስ እስጢፋኖስ,ቅዱስ እስጢፋኖስ,AM-GDL-009,ገድለ ቅዱስ እስጢፋኖስ አማርኛ,አማርኛ,"መስከረም 15, ጥቅምት 17, ጥር 1 / Monthly Day 17",Sinksar Canonical Cycle,verified
Batch5,248,E,ቅዱስ እስጢፋኖስ,ቅዱስ እስጢፋኖስ,AM-MEL-045,የቅዱስ እስጢፋኖስ 2ኛ መልክዕ በአማርኛ,አማርኛ,"መስከረም 15, ጥቅምት 17, ጥር 1 / Monthly Day 17",Sinksar Canonical Cycle,verified
Batch5,249,E,ቅዱስ እስጢፋኖስ,ቅዱስ እስጢፋኖስ,GZ-GDL-022,ገድለ ቅዱስ እስጢፋኖስ በግእዝ,ግእዝ,"መስከረም 15, ጥቅምት 17, ጥር 1 / Monthly Day 17",Sinksar Canonical Cycle,verified
Batch5,250,E,ቅዱስ እስጢፋኖስ,ቅዱስ እስጢፋኖስ,GZ-MEL-016,መልክዐ ሊቀ ሰማዕታት ቅዱስ እስጢፋኖስ በግእዝ,ግእዝ,"መስከረም 15, ጥቅምት 17, ጥር 1 / Monthly Day 17",Sinksar Canonical Cycle,verified
Batch5,251,E,ቅዱስ እስጢፋኖስ,ቅዱስ እስጢፋኖስ,GZ-MEL-017,መልክዐ ሊቀ ሰማዕታት ቅዱስ እስጢፋኖስ ካልእ በግእዝ,ግእዝ,"መስከረም 15, ጥቅምት 17, ጥር 1 / Monthly Day 17",Sinksar Canonical Cycle,verified
Batch5,252,E,ቅዱስ መርቆሬዎስ,ቅዱስ መርቆሬዎስ,AM-GDL-015,ገድለ ሰማዕት ቅዱስ መርቆሬዎስ በአማርኛ,አማርኛ,"ኅዳር 25, ጥር 25, ሐምሌ 25 / Monthly Day 25",Sinksar Canonical Cycle,verified
