month,day,kind,position,sinksar_name
10,28,annual,1,አባ ቴዎዶስዮስ ሊቀ ዻዻሳት
10,28,annual,3,ቅዱስ ባስልዮስ
10,28,annual,4,ቅዱስ ባሊዲስ
10,28,monthly,3,ቅዱስ እንድራኒቆስና ሚስቱ ቅድስት አትናስያ
10,28,monthly,4,ቅድስት ዓመተ ክ ክርስቶስ
10,28,monthly,5,ቅዱስ ቴዎድሮስ ሮማዊ (ሰማዕት)
11,7,annual,2,ብሥራተ ልደተ ይስሐቅ
11,7,annual,3,ታላቁ አባ ሲኖዳ (የባሕታውያን ሁሉ አለቃ)
11,7,annual,6,አባ መቃቢስ
11,7,annual,7,አባ አግራጥስ
11,7,monthly,1,አባ ዳንኤል ዘገዳመ ሲሐት
11,7,monthly,2,አባ ባውላ ገዳማዊ
11,7,monthly,3,ቅዱስ አትናቴዎስ ሐዋርያዊ
11,17,annual,1,ቅዱስ ዮናስ ነቢይ (ከአሣ አንበሪ ሆድ የወጣበት)
11,17,annual,2,ቅድስት አውፎምያ (ጻድቅትና ሰማዕት)
11,17,annual,4,ቅዱስ ዘካርያስ
11,17,monthly,2,ቅዱስ ያዕቆብ ሐዋርያ (ወልደ ዘብዴዎስ)
11,17,monthly,3,ቅዱሳን አበው መክሲሞስና ዱማቴዎስ
11,17,monthly,5,አባ ዸላሞን ፈላሢ
11,17,monthly,6,አባ ለትጹን የዋህ
11,17,monthly,7,ቅዱስ ኤዺፋንዮስ ሊቅ (ዘደሴተ ቆዽሮስ)
11,21,annual,1,ቅድስት ድንግል እግዝእትነ ማርያም ወላዲተ አምላክ
11,21,annual,4,ቅዱስ ላዕከ ማርያም ሔር (ኢትዮዽያዊ)
11,21,annual,6,ብጹዕ አወ ክርስቶስና ሚስቱ (ጻድቃን)
11,21,annual,7,ቅዱስ ሱስንዮስ ጻድቅ
11,21,annual,8,ቅዱስ ዮራኖስ መኮንን (የ100 አለቃው)
11,21,monthly,1,አበው ጎርጎርዮሳት
11,21,monthly,4,አባ አሮን ሶርያዊ
11,21,monthly,5,አባ መርትያኖስ ጻድቅ️
12,14,annual,1,ቅዱስ መስቀለ ክርስቶስ
12,14,annual,2,ጻድቃን ቅዱሳን (አባ ስምዖንና አባ ዮሐንስ)
12,14,annual,3,ቅዱስ ባስሊቆስ (ኃያል ሰማዕት)
12,14,annual,4,ቅዱስ ድምጥያና ደቀ መዛሙርቱ (ሰማዕታት)
12,14,monthly,2,ቅዱስ ገብረ ክርስቶስ መርዓዊ
12,14,monthly,3,ቅዱስ ፊልዾስ ሐዋርያ
12,14,monthly,4,ቅዱስ ሙሴ ( የእግዚአብሔር ሰው)
12,14,monthly,5,አባ ዮሐንስ ጻድቅ
12,14,monthly,6,እናታችን ቅድስት ነሣሒት
12,25,annual,1,ቅዱስ እንድርያኖስ ሰማዕት
12,25,annual,2,"""፳፬ቱ"" ሰማዕታት (ማሕበሩ)"
12,25,annual,3,ቅድስት ኤልያና (ሚስቱ)
12,25,annual,4,ታላቁ አባ ቢጻርዮን ገዳማዊ
12,25,annual,5,ቅዱስ ኤልያኖስና እህቱ አውዶክስያ (ሰማዕታት)
12,25,monthly,2,ቅድስት ቴክላ ሐዋርያዊት
12,25,monthly,3,ቅዱስ አበከረዙን ሰማዕት
12,25,monthly,4,ቅዱስ ዱማድዮስ ሶርያዊ
12,25,monthly,6,ቅዱስ አባ አቡፋና ጻድቅ
12,27,annual,1,"""፲፪ቱ"" ደቂቀ ያዕቆብ (እሥራኤል)"
12,27,annual,2,ቅዱስ ሳሙኤል ነቢይ (የተጠራበት)
12,27,annual,4,ቅዱስ ብንያሚንና እህቱ አውዶከስያ (ሰማዕታት)
12,27,annual,5,ቅዱስ ፊቅጦርና እናቱ ሣራ
12,27,annual,6,አባ ባስልዮስ ፓትርያርክ ዘኢትዮዽያ (የተሾሙበት)
12,27,monthly,2,አቡነ መብአፂዮን
13,2,annual,1,ቅዱስ ቲቶ ሐዋርያ (ከ፯፪ቱ አርድእት)
13,3,annual,1,ርኅወተ ሰማይ (የሰማይ መከፈት)
13,3,annual,4,አፄ ዘርዓያ ዕቆብ ንጉሥ (የእመቤታችን ወዳጅ)
13,3,annual,5,ቅዱስ ሰራዽዮን ዘሰንዱን
13,3,annual,6,ቅዱስ አኖሬዎስ
13,3,annual,7,ቅዱስ ቴዎፍሎስ
13,3,annual,8,አባ ዮሐንስ
13,3,annual,9,ቅዱስ ጦቢት
13,3,annual,10,ቅዱሳን ጦብያና ሣራ
13,4,annual,1,ቅዱስ አባ ባይሞን (ዼሜን)
13,4,annual,3,ቅዱስ ሊባርዮስ ሊቅ
