type,book_id,title,detail,sinksar_name,app_notes,shared,coverage,expected
A_annual_vs_monthly,GZ-MEL-085,መልክዐ አቡነ ሳሙኤል ዘዋልድባ በግእዝ,8/12,አቡነ ሳሙኤል ዘቆየጻ (ኢትዮዽያዊ),MONTHLY,ሳሙኤል,,
A_annual_vs_monthly,GZ-MEL-086,መልክዐ አቡነ ሳሙኤል ዘዋልድባ ካልዕ በግእዝ,8/12,አቡነ ሳሙኤል ዘቆየጻ (ኢትዮዽያዊ),MONTHLY,ሳሙኤል,,
A_annual_vs_monthly,AM-GDL-013,የቅዱስ ዮሐንስ ገድል በአማርኛ,9/4,አባ ዮሐንስ ሊቀ ዻዻሳት,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-016,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ,9/4,አባ ዮሐንስ ሊቀ ዻዻሳት,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-047,የቅዱስ ዮሐንስ 2ኛ መልክዕ በአማርኛ,9/4,አባ ዮሐንስ ሊቀ ዻዻሳት,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-061,መልክዐ ቅዱስ ዮሐንስ ካልእ በግእዝ,9/4,አባ ዮሐንስ ሊቀ ዻዻሳት,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-062,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ,9/4,አባ ዮሐንስ ሊቀ ዻዻሳት,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-149,መልክዐ ዮሐንስ ወልደ ነጎድጓድ በግእዝ,9/4,አባ ዮሐንስ ሊቀ ዻዻሳት,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-150,መልክዐ ዮሐንስ ፍቁረ እግዚእ በግእዝ,9/4,አባ ዮሐንስ ሊቀ ዻዻሳት,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-013,መልክዐ ቅዱስ ሚናስ በአማርኛ,9/15,ቅዱስ ሚናስ ባሕታዊ,MONTHLY,ሚናስ,,
A_annual_vs_monthly,GZ-MEL-052,መልክዐ ቅዱስ ሚናስ በግእዝ,9/15,ቅዱስ ሚናስ ባሕታዊ,MONTHLY,ሚናስ,,
A_annual_vs_monthly,AM-MEL-021,መልክዐ አቡነ ዮሐንስ ጻድቅ በአማርኛ,9/16,ቅዱስ ዮሐንስ ወንጌላዊ (ስብከቱና ቅዳሴ ቤቱ),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-GDL-013,የቅዱስ ዮሐንስ ገድል በአማርኛ,10/4,ቅዱስ ዮሐንስ ዘሐራቅሊ (ሰማዕት),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-016,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ,10/4,ቅዱስ ዮሐንስ ዘሐራቅሊ (ሰማዕት),MONTHLY,ዮሐንስ,,
