book_id,language_id,category_id,main_category_id,sub_category_id,subject_category,title,total_chapters,weekday_chapter_count,weekday_chapters,matched_mapped_books,matched_csv_groups,unmapped_cluster
GZ-MEL-153,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ ገብረ ክርስቶስ በግእዝ,1,0,,AM-GDL-005 (ክርስቶስ) ; AM-GDL-007 (ገብረ) ; AM-GDL-014 (ክርስቶስ) ; AM-MEL-018 (ክርስቶስ) ; AM-MEL-060 (ክርስቶስ),"ቅድስት ክርስቶስ ሠምራ [መስከረም 24, ግንቦት 12, ነሐሴ 24 / Monthly Day 24] (ክርስቶስ) ; ቅድስት ፍቅርተ ክርስቶስ [የካቲት 29, መጋቢት 29 / Monthly Day 29] (ክርስቶስ) ; አቡነ እስትንፋሰ ክርስቶስ [የካቲት 9, ሚያዝያ 9 / Monthly Day 9] (ክርስቶስ) ; አቡነ ገብረ መንፈስ ቅዱስ [ጥቅምት 5, ታኅሣሥ 29, መጋቢት 5, መጋቢት 29 / Monthly Day 5] (ገብረ) ; ኢየሱስ ክርስቶስ [ታኅሣሥ 29, መጋቢት 29 / Monthly Day 29] (ክርስቶስ)",GZ-MEL-148
GZ-MEL-158,GZ,MEL,MC-06,SC-06-03,HAWARYAT,መልክዐ ጴጥሮስ ወጳውሎስ በግእዝ,1,0,,AM-GDL-020 (ጴጥሮስ) ; GZ-GDL-003 (ጴጥሮስ),እምነ ወለተ ጴጥሮስ [ኅዳር 17 / Monthly Day 17] (ጴጥሮስ) ; ወለተ ጴጥሮስ [ኅዳር 17 / Monthly Day 17] (ጴጥሮስ),
GZ-MEL-164,GZ,MEL,MC-06,SC-06-01,MALAKT,መልክዐ ፬ቱ እንስሳ በግእዝ,1,0,,,,
GZ-MTS-001,GZ,MTS,MC-08,SC-08-04,MARIAM,መጽሐፈ ልደታ ለማርያም በግእዝ,1,0,,,,
GZ-MTS-002,GZ,MTS,MC-09,SC-09-03,TSADQAN,መጽሐፈ ሕይወት ዘትሰመይ ልፋፈ ጽድቅ በግእዝ,1,0,,,,
GZ-SME-001,GZ,SME,MC-09,SC-09-05,TSADQAN,ስምዐ ጲላጦስ በግእዝ,7,0,,,,
GZ-TBB-001,GZ,TBB,MC-09,SC-09-05,TSADQAN,ጥበበ ሰሎሞን በግእዝ,1,0,,,,
GZ-TUL-001,GZ,MET,MC-08,SC-08-03,AMLAK,መጽሐፈ ቱላዳን በግእዝ,7,0,,,,
GZ-ZNA-001,GZ,ZNA,MC-07,SC-07-04,TSADQAN,ዜናሁ ለንጉሠ ነገሥት በካፋ በግእዝ,2,0,,,,
GZ-ZNA-002,GZ,ZNA,MC-07,SC-07-04,TSADQAN,ዜናሁ ለንጉሥ ገላውዴዎስ በግእዝ,95,0,,,,
GZ-ZNA-003,GZ,ZNA,MC-07,SC-07-04,TSADQAN,ዜና ሕይወቱ ለንጉሥ ላልይበላ በግእዝ,15,0,,,,
