batch,section,group,book_id,title,language,final_dates,annual_dates_must_be_1,monthly_days,db_dates_is_annual_1,db_dates_is_annual_0,overlap_annual_plus_monthly_must_be_1,count_1,count_0,rows_expected,rows_in_db,flag_status,problem
Batch1,B,አቡነ ፊልሞና,GZ-GDL-020,ገድለ አቡነ ፊልሞና በግእዝ,ግእዝ,ታኅሣሥ 22,ታኅሣሥ 22,,ታኅሣሥ 22,,,1,0,1,1,PASS,
Batch1,B,አቡነ ፊልሞና,GZ-MEL-117,መልክዐ አቡነ ፊልሞና በግእዝ,ግእዝ,ታኅሣሥ 22,ታኅሣሥ 22,,ታኅሣሥ 22,,,1,0,1,1,PASS,
Batch1,B,አቡነ ዳንኤል,GZ-GDL-028,ገድለ አቡነ ዳንኤል በግእዝ,ግእዝ,ኅዳር 6,ኅዳር 6,,ኅዳር 6,,,1,0,1,1,PASS,
Batch1,B,አቡነ ዳንኤል,GZ-MEL-114,መልክዐ አቡነ ዳንኤል በግእዝ,ግእዝ,ኅዳር 6,ኅዳር 6,,ኅዳር 6,,,1,0,1,1,PASS,
Batch1,B,አቡነ ዮሴፍ,GZ-GDL-029,ገድለ አቡነ ዮሴፍ በግእዝ,ግእዝ,ግንቦት 19 / Monthly Day 19,ግንቦት 19,19,ግንቦት 19,"መስከረም 19, ጥቅምት 19, ኅዳር 19, ታኅሣሥ 19, ጥር 19, የካቲት 19, መጋቢት 19, ሚያዝያ 19, ሰኔ 19, ሐምሌ 19, ነሐሴ 19",ግንቦት 19,1,11,12,12,PASS,
Batch1,B,አቡነ ዮሴፍ,GZ-MEL-111,መልክዐ አቡነ ዮሴፍ በግእዝ,ግእዝ,ግንቦት 19 / Monthly Day 19,ግንቦት 19,19,ግንቦት 19,"መስከረም 19, ጥቅምት 19, ኅዳር 19, ታኅሣሥ 19, ጥር 19, የካቲት 19, መጋቢት 19, ሚያዝያ 19, ሰኔ 19, ሐምሌ 19, ነሐሴ 19",ግንቦት 19,1,11,12,12,PASS,
Batch2,A,ቅዱስ መስቀል,GZ-DRS-002,ድርሳነ መስቀል በግእዝ,ግእዝ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12",10,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12","ጥቅምት 10, ኅዳር 10, ታኅሣሥ 10, ጥር 10, የካቲት 10, ሚያዝያ 10, ግንቦት 10, ሰኔ 10, ሐምሌ 10, ነሐሴ 10","መስከረም 10, መጋቢት 10",10,10,20,20,PASS,
Batch2,A,ቅዱስ መስቀል,AM-DRS-008,ድርሳነ መስቀል በአማርኛ,አማርኛ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12",10,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12","ጥቅምት 10, ኅዳር 10, ታኅሣሥ 10, ጥር 10, የካቲት 10, ሚያዝያ 10, ግንቦት 10, ሰኔ 10, ሐምሌ 10, ነሐሴ 10","መስከረም 10, መጋቢት 10",10,10,20,20,PASS,
Batch2,A,ኢያቄም ወሐና,GZ-DRS-007,ድርሳን ዘቅዱስ ኢያቄም ወቅድስት ሐና በግእዝ,ግእዝ,"መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11 / Monthly Day 1, 3, 11","መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11","1, 3, 11","መስከረም 7, መስከረም 12, ኅዳር 11, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7","መስከረም 1, መስከረም 3, መስከረም 11, ጥቅምት 1, ጥቅምት 3, ጥቅምት 11, ኅዳር 1, ኅዳር 3, ታኅሣሥ 1, ታኅሣሥ 11, ጥር 1, ጥር 3, ጥር 11, የካቲት 1, የካቲት 3, የካቲት 11, መጋቢት 1, መጋቢት 3, መጋቢት 11, ሚያዝያ 1, ሚያዝያ 3, ሚያዝያ 11, ግንቦት 3, ግንቦት 11, ሰኔ 1, ሰኔ 3, ሰኔ 11, ሐምሌ 1, ሐምሌ 3, ሐምሌ 11, ነሐሴ 3, ነሐሴ 11, ጳጉሜን 1, ጳጉሜን 3","ኅዳር 11, ታኅሣሥ 3, ግንቦት 1, ነሐሴ 1",9,34,43,43,PASS,
Batch2,A,ኢያቄም ወሐና,AM-DRS-001,የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ,አማርኛ,"መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11 / Monthly Day 1, 3, 11","መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11","1, 3, 11","መስከረም 7, መስከረም 12, ኅዳር 11, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7","መስከረም 1, መስከረም 3, መስከረም 11, ጥቅምት 1, ጥቅምት 3, ጥቅምት 11, ኅዳር 1, ኅዳር 3, ታኅሣሥ 1, ታኅሣሥ 11, ጥር 1, ጥር 3, ጥር 11, የካቲት 1, የካቲት 3, የካቲት 11, መጋቢት 1, መጋቢት 3, መጋቢት 11, ሚያዝያ 1, ሚያዝያ 3, ሚያዝያ 11, ግንቦት 3, ግንቦት 11, ሰኔ 1, ሰኔ 3, ሰኔ 11, ሐምሌ 1, ሐምሌ 3, ሐምሌ 11, ነሐሴ 3, ነሐሴ 11, ጳጉሜን 1, ጳጉሜን 3","ኅዳር 11, ታኅሣሥ 3, ግንቦት 1, ነሐሴ 1",9,34,43,43,PASS,
