canonical_group,book_count,books,final_dates,sinksar_monthly_days,sinksar_annual_dates,tselot_rep_dates,unity_pass,missing_vs_verified,extra_vs_verified
ቅዱስ ሚካኤል ሊቀ መላእክት,1,GZ-MEL-009,"ኅዳር 12, ጥር 12, ሰኔ 12, ሐምሌ 12 / Monthly Day 12",,,"[(1, 12), (2, 12), (3, 12), (4, 12), (5, 12), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (11, 12), (12, 12)]",,,
ቅዱስ ፋኑኤል,1,GZ-MEL-015,ታኅሣሥ 3 / Monthly Day 3,,,"[(1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3)]",,,
ቅዱስ ላሊበላ,1,GZ-MEL-019,"ታኅሣሥ 29, መጋቢት 29, ሰኔ 12 / Monthly Day 12",,,"[(1, 12), (2, 12), (3, 12), (4, 12), (4, 29), (5, 12), (6, 12), (7, 12), (7, 29), (8, 12), (9, 12), (10, 12), (11, 12), (12, 12)]",,,
ልደታ ለማርያም,1,GZ-MEL-020,ግንቦት 1 / Monthly Day 1,,,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]",,,
ቅዱስ ፋሲለደስ,1,GZ-MEL-041,የካቲት 11 / Monthly Day 11,,,"[(1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (12, 11)]",,,
አማኑኤል,1,GZ-MEL-072,ታኅሣሥ 28 / Monthly Day 28,,,"[(1, 28), (2, 28), (3, 28), (4, 28), (5, 28), (6, 28), (7, 28), (8, 28), (9, 28), (10, 28), (11, 28), (12, 28)]",,,
አቡነ መዝገበ ሥላሴ,1,GZ-MEL-077,ጥቅምት 9,,,"[(2, 9)]",,,
አቡነ መድኃኒነ እግዚእ,1,GZ-MEL-078,ኅዳር 3 / Monthly Day 3,,,"[(1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3)]",,,
አቡነ ተክለ አልፋ ዘደብረ ድማሕ,1,GZ-MEL-093,ታኅሣሥ 8,,,"[(4, 8)]",,,
አቡነ አብሳዲ ዘደብረ ማርያም,1,GZ-MEL-099,መስከረም 30,,,"[(1, 30)]",,,
አቡነ ዮሐንስ ከማ,1,GZ-MEL-109,ታኅሣሥ 25,,,"[(4, 25)]",,,
24ቱ ካህናተ ሰማይ (ሱራፌል),1,GZ-MEL-142,ኅዳር 24 / Monthly Day 24,,,"[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24)]",,,
ቅዱስ ያሬድ ማኅሌታይ,1,GZ-MEL-146,"ኅዳር 11, ግንቦት 11 / Monthly Day 11",,,"[(1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (12, 11)]",,,
ቅዱስ ያሬው ማኅሌታይ,1,GZ-MEL-147,"ኅዳር 11, ግንቦት 11 / Monthly Day 11",,,"[(1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (12, 11)]",,,
ቅዩስ ያሬድ ማኅሌታይ,1,GZ-GDL-021,"ኅዳር 11, ግንቦት 11 / Monthly Day 11",,,"[(1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (12, 11)]",,,
፬ቱ እንስሳ (ኪሩቤል),1,GZ-MEL-164,ኅዳር 8 / Monthly Day 8,,,"[(1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8)]",,,
ዕፀ ልደታ ለማርያም,1,GZ-MTS-001,ግንቦት 1 / Monthly Day 1,,,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]",,,
